"";"Met";"Gene";"Ev";"NrComponents";"Pv_wilcox";"Pv_adj";"Pathway";"Reference";"logFC";"P.Value";"adj.P.Val";"p_value_COX";"coef_COX";"oneTail"
"1";"cg00001687";"CDK10";"CDK10_18_C";2;0,509814582755487;0,74301111909675;NA;NA;0,662154251317207;2,23679155294336e-10;2,59824814304493e-09;0,204062757224368;-0,340954041148294;0,897968621387816
"2";"cg00001854";"DNAJA2";"DNAJA2_6_AF";2;0,186229619260183;0,443880815715651;NA;NA;0,117923475706712;0,172269289164076;0,299999842863266;0,309507354547286;-0,14337289096856;0,845246322726357
"3";"cg00008945";"SH3BGRL";"SH3BGRL_5_C";2;0,0316393767217057;0,152025466720503;NA;NA;-0,0359481520690724;0,811404535520951;0,863025382038061;0,00297407648437756;0,422502220700117;0,00148703824218878
"4";"cg00010672";"RTN4";"RTN4_16_C";2;0,000181056123734969;0,002910543753791;NA;NA;0,323598704898469;0,0016799588634949;0,00567933391134826;0,173500129191445;0,199210492708421;0,0867500645957224
"5";"cg00011200";"EBP";"EBP_4_A3";2;0,592888460409355;0,801609398002444;NA;NA;0,550746889628457;1,12385478142316e-07;8,64725570956776e-07;0,0217777863916628;0,336209789173903;0,0108888931958314
"6";"cg00023415";"RBM3";"RBM3_19_C";2;0,232975300398739;0,501197786466659;NA;NA;-0,136015447917211;0,205411163468462;0,342421681835355;0,00205307583804174;0,454417289483266;0,00102653791902087
"7";"cg00027637";"ITPKB";"ITPKB_2_AL";2;0,475202591513521;0,716213056865779;NA;NA;0,457397135474957;0,000208389492557161;0,000868048244638255;0,627627715715127;0,0666210716044516;0,313813857857564
"8";"cg00040588";"MXRA8";"MXRA8_5_C";2;0,957940893997473;0,984336270122325;NA;NA;1,02694934261307;6,60693227627496e-07;4,48314855510482e-06;0,0160366030835927;0,338511384993725;0,00801830154179633
"9";"cg00042882";"AP1S1";"AP1S1_2_AF";2;0,161017974234353;0,409801847940678;NA;NA;0,935126252091317;8,55403489331306e-21;3,78088342284437e-19;0,0830520602178855;-0,236825297839789;0,958473969891057
"10";"cg00046021";"PLOD3";"PLOD3_15_C";2;0,43236163854497;0,687535988525305;NA;NA;1,98946004387902;2,22013331673606e-40;1,05029650673153e-37;0,0489484333481597;-0,374523241582068;0,97552578332592
"11";"cg00049156";"TMED5";"TMED5_12_CE";2;0,852671809389754;0,941471538783604;NA;NA;0,303043979467561;0,00502341814252687;0,0150767279045684;0,724686532625472;0,0501582315626889;0,362343266312736
"12";"cg00064020";"ABCF3";"ABCF3_25_C";2;0,399006896172175;0,661481574791596;NA;NA;0,901427063978393;8,7478267359521e-22;4,36339291737103e-20;0,11764744778335;-0,214456463407679;0,941176276108325
"13";"cg00064020";"PSMD2";"PSMD2_29_C";2;0,0360402954863722;0,165967553464099;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,11764744778335;-0,214456463407679;0,941176276108325
